"position","row_id","entrez_id","symbol","scgpt_symbol","reactome_pathways","baseline_mean","pre_change_sd","change_excess","between_subject_sd"
971,"gene51251","51251","NT5C3A","NT5C3A",4,4.469,0.2281,0.2656,0.2976
972,"gene3727","3727","JUND","JUND",21,7.322,0.1665,0.2649,0.1612
973,"gene57449","57449","PLEKHG5","PLEKHG5",14,3.661,0.2781,0.2648,0.4043
974,"gene7423","7423","VEGFB","VEGFB",9,5.046,0.2025,0.2645,0.1544
975,"gene2026","2026","ENO2","ENO2",5,5.294,0.1939,0.2643,0.2451
976,"gene79414","79414","LRFN3","LRFN3",3,3.582,0.2839,0.2642,0.2183
977,"gene120227","120227","CYP2R1","CYP2R1",12,3.528,0.2881,0.264,0.1898
978,"gene975","975","CD81","CD81",6,7.021,0.1664,0.264,0.2008
979,"gene9349","9349","RPL23","RPL23",46,9.413,0.187,0.2637,0.1516
980,"gene84868","84868","HAVCR2","HAVCR2",4,4.84,0.2104,0.2636,0.3182
981,"gene23461","23461","ABCA5","ABCA5",3,4.074,0.2497,0.2635,0.291
982,"gene6122","6122","RPL3","RPL3",46,11.063,0.2169,0.2634,0.1816
983,"gene1435","1435","CSF1","CSF1",15,3.616,0.2811,0.2632,0.3185
984,"gene84418","84418","CYSTM1","CYSTM1",3,3.531,0.2876,0.2631,0.2984
985,"gene79930","79930","DOK3","DOK3",3,7.438,0.1666,0.2631,0.1834
986,"gene27336","27336","HTATSF1","HTATSF1",6,6.081,0.1739,0.2625,0.1219
987,"gene2833","2833","CXCR3","CXCR3",11,5.316,0.1928,0.2623,0.3494
988,"gene338596","338596","ST8SIA6","ST8SIA6",9,2.585,0.3756,0.262,0.463
989,"gene53822","53822","FXYD7","FXYD7",11,2.65,0.3688,0.2619,0.395
990,"gene51332","51332","SPTBN5","SPTBN5",24,3.16,0.3191,0.2616,0.5389
991,"gene56034","56034","PDGFC","PDGFC",3,2.468,0.3883,0.2615,0.4216
992,"gene873","873","CBR1","CBR1",5,4.385,0.2315,0.2613,0.2225
993,"gene9260","9260","PDLIM7","PDLIM7",4,6.392,0.1696,0.261,0.2069
994,"gene26049","26049","FAM169A","FAM169A",5,3.263,0.3099,0.261,0.3278
995,"gene433","433","ASGR2","ASGR2",3,3.878,0.2615,0.2607,0.4626
996,"gene120892","120892","LRRK2","LRRK2",4,7.297,0.1657,0.2604,0.1824
997,"gene3687","3687","ITGAX","ITGAX",11,9.277,0.1845,0.2603,0.2541
998,"gene219","219","ALDH1B1","ALDH1B1",6,3.205,0.3147,0.26,0.2373
999,"gene55252","55252","ASXL2","ASXL2",4,6.449,0.1688,0.26,0.145
1000,"gene521","521","ATP5ME","ATP5ME",6,5.064,0.2009,0.2598,0.1313
